Reference, Value, Footprint, Datasheet, Note
U1,EFM32GG232F1024,pre:QFP64,
C10,10u,Capacitors_SMD:C_0805_HandSoldering,
C9,100n,Capacitors_SMD:C_0603_HandSoldering,
C8,100n,Capacitors_SMD:C_0603_HandSoldering,
C6,100n,Capacitors_SMD:C_0603_HandSoldering,
C5,100n,Capacitors_SMD:C_0603_HandSoldering,
C3,1u,Capacitors_SMD:C_0805_HandSoldering,
C1,100n,Capacitors_SMD:C_0603_HandSoldering,
C2,100n,Capacitors_SMD:C_0603_HandSoldering,
P1,MCU Debug,Pin_Headers:Pin_Header_Straight_2x10,
P5,SD_Card_DM1,pre:DM1AA-SF-PEJ,
R10,47k,Resistors_SMD:R_0805_HandSoldering,
R12,47k,Resistors_SMD:R_0805_HandSoldering,
R18,47k,Resistors_SMD:R_0805_HandSoldering,
R16,22,Resistors_SMD:R_0805_HandSoldering,
R15,22,Resistors_SMD:R_0805_HandSoldering,
R14,22,Resistors_SMD:R_0805_HandSoldering,
R13,22,Resistors_SMD:R_0805_HandSoldering,
C12,100n,Capacitors_SMD:C_0603_HandSoldering,
C11,22u,Capacitors_SMD:C_0805_HandSoldering,
P6,Volume,Pin_Headers:Pin_Header_Straight_1x03,
P3,Mute,Pin_Headers:Pin_Header_Straight_1x02,
R17,91,Resistors_SMD:R_0805_HandSoldering,
R9,10k,Resistors_SMD:R_0805_HandSoldering,
R7,10k,Resistors_SMD:R_0805_HandSoldering,
R3,10k,Resistors_SMD:R_0805_HandSoldering,
C7,12p,Capacitors_SMD:C_0603_HandSoldering,
C4,12p,Capacitors_SMD:C_0603_HandSoldering,
X1,48MHz,pre:XTAL_SMD,
R1,4.7k,Resistors_SMD:R_0805_HandSoldering,
R2,4.7k,Resistors_SMD:R_0805_HandSoldering,
P2,Buttons,Pin_Headers:Pin_Header_Straight_2x04,
R4,10k,Resistors_SMD:R_0805_HandSoldering,
R5,10k,Resistors_SMD:R_0805_HandSoldering,
R6,10k,Resistors_SMD:R_0805_HandSoldering,
R11,91,Resistors_SMD:R_0805_HandSoldering,
P4,LEDs,Pin_Headers:Pin_Header_Straight_2x03,
R8,91,Resistors_SMD:R_0805_HandSoldering,
U3,DIR9001,Housings_SSOP:TSSOP-28_4.4x9.7mm_Pitch0.65mm,
C14,10u,Capacitors_SMD:C_0805_HandSoldering,
C15,100n,Capacitors_SMD:C_0603_HandSoldering,
C18,10u,Capacitors_SMD:C_0805_HandSoldering,
C17,100n,Capacitors_SMD:C_0603_HandSoldering,
C16,4.7n,Capacitors_SMD:C_0603_HandSoldering,
C19,68n,Capacitors_SMD:C_0603_HandSoldering,
R21,680,Resistors_SMD:R_0805_HandSoldering,
R20,47k,Resistors_SMD:R_0805_HandSoldering,
P8,TOSLINK,pre:PLR135T,
C20,100n,Capacitors_SMD:C_0603_HandSoldering,
L2,FERRITE BEAD,Resistors_SMD:R_0805_HandSoldering,
L1,FERRITE BEAD,Resistors_SMD:R_0805_HandSoldering,
P7,SPDIF,pre:RCA,
R19,75,Resistors_SMD:R_0805_HandSoldering,
T1,S22083,pre:S22083,
U2,MAX3280E,pre:SOT-23-5,
C13,100n,Capacitors_SMD:C_0603_HandSoldering,
U4,CS4398,Housings_SSOP:TSSOP-28_4.4x9.7mm_Pitch0.65mm,
C23,100n,Capacitors_SMD:C_0603_HandSoldering,
C24,10u,Capacitors_SMD:C_0805_HandSoldering,
C25,100n,Capacitors_SMD:C_0603_HandSoldering,
C26,10u,Capacitors_SMD:C_0805_HandSoldering,
C33,3.3u,Capacitors_SMD:C_0805_HandSoldering,
C29,100n,Capacitors_SMD:C_0603_HandSoldering,
C30,100u,Capacitors_Tantalum_SMD:TantalC_SizeB_EIA-3528_Wave,
C31,100n,Capacitors_SMD:C_0603_HandSoldering,
C32,33u,Capacitors_SMD:C_1210_HandSoldering,
C22,100n,Capacitors_SMD:C_0603_HandSoldering,
C21,100n,Capacitors_SMD:C_0603_HandSoldering,
U5,LM4562,SMD_Packages:SOIC-8-W,
C27,100n,Capacitors_SMD:C_0603_HandSoldering,
C28,100n,Capacitors_SMD:C_0603_HandSoldering,
R22,47k,Resistors_SMD:R_0805_HandSoldering,
R23,1.96k,Resistors_SMD:R_0805_HandSoldering,
R29,953,Resistors_SMD:R_0805_HandSoldering,
C34,1n,Capacitors_SMD:C_0603_HandSoldering,,NP0
C35,1n,Capacitors_SMD:C_0603_HandSoldering,,NP0
R24,1.96k,Resistors_SMD:R_0805_HandSoldering,
R30,953,Resistors_SMD:R_0805_HandSoldering,
C40,390p,Capacitors_SMD:C_0603_HandSoldering,,NP0
R33,2.15k,Resistors_SMD:R_0805_HandSoldering,
R27,2.15k,Resistors_SMD:R_0805_HandSoldering,
C38,390p,Capacitors_SMD:C_0603_HandSoldering,,NP0
R25,1.96k,Resistors_SMD:R_0805_HandSoldering,
R31,953,Resistors_SMD:R_0805_HandSoldering,
C36,1n,Capacitors_SMD:C_0603_HandSoldering,,NP0
C37,1n,Capacitors_SMD:C_0603_HandSoldering,,NP0
R26,1.96k,Resistors_SMD:R_0805_HandSoldering,
R32,953,Resistors_SMD:R_0805_HandSoldering,
C41,390p,Capacitors_SMD:C_0603_HandSoldering,,NP0
R34,2.15k,Resistors_SMD:R_0805_HandSoldering,
R28,2.15k,Resistors_SMD:R_0805_HandSoldering,
C39,390p,Capacitors_SMD:C_0603_HandSoldering,,NP0
P9,LOUT,pa:Terminal_Block_2_2.5mm,
P10,ROUT,pa:Terminal_Block_2_2.5mm,
R35,549,Resistors_SMD:R_0805_HandSoldering,
C42,2.2n,Capacitors_SMD:C_0603_HandSoldering,,NP0
R36,549,Resistors_SMD:R_0805_HandSoldering,
C43,2.2n,Capacitors_SMD:C_0603_HandSoldering,,NP0
P11,RJ45-MAGJACK,pre:08B0-1D1T-06-F,
U6,ENC424J600,Housings_QFP:TQFP-44_10x10mm_Pitch0.8mm,
C45,12p,Capacitors_SMD:C_0603_HandSoldering,
C46,12p,Capacitors_SMD:C_0603_HandSoldering,
X2,25MHz,pre:XTAL_SMD,
C51,100n,Capacitors_SMD:C_0603_HandSoldering,
C52,100n,Capacitors_SMD:C_0603_HandSoldering,
C53,100n,Capacitors_SMD:C_0603_HandSoldering,
C54,100n,Capacitors_SMD:C_0603_HandSoldering,
C55,100n,Capacitors_SMD:C_0603_HandSoldering,
C56,1n,Capacitors_SMD:C_0603_HandSoldering,
C57,1n,Capacitors_SMD:C_0603_HandSoldering,
C44,10u,Capacitors_SMD:C_0805_HandSoldering,,Tantalum
R38,12.4k,Resistors_SMD:R_0805_HandSoldering,,1%
R39,49.9,Resistors_SMD:R_0805_HandSoldering,,1%
R40,49.9,Resistors_SMD:R_0805_HandSoldering,,1%
R41,49.9,Resistors_SMD:R_0805_HandSoldering,,1%
R42,49.9,Resistors_SMD:R_0805_HandSoldering,,1%
C49,10n,Capacitors_SMD:C_0603_HandSoldering,
R43,10,Resistors_SMD:R_0805_HandSoldering,,1% 1/12W
C50,10n,Capacitors_SMD:C_0603_HandSoldering,
C48,6.8n,Capacitors_SMD:C_0603_HandSoldering,,10%
C47,6.8n,Capacitors_SMD:C_0603_HandSoldering,,10%
R44,180,Resistors_SMD:R_0805_HandSoldering,
R45,180,Resistors_SMD:R_0805_HandSoldering,
R37,100k,Resistors_SMD:R_0805_HandSoldering,
U9,xc7a100tftg256,pre:FTG256,
P12,FPGA Debug,pre:FPGA_debug,
U7,N25Q128A,Housings_SOIC:SOIJ-8_5.3x5.3mm_Pitch1.27mm,
C58,100n,Capacitors_SMD:C_0603_HandSoldering,
R47,4.7k,Resistors_SMD:R_0805_HandSoldering,
R49,4.7k,Resistors_SMD:R_0805_HandSoldering,
R50,330,Resistors_SMD:R_0805_HandSoldering,
R48,4.7k,Resistors_SMD:R_0805_HandSoldering,
R46,4.7k,Resistors_SMD:R_0805_HandSoldering,
R51,4.7k,Resistors_SMD:R_0805_HandSoldering,
U8,oscillator,pre:OSC_SMD,,11.2896MHz
C59,100n,Capacitors_SMD:C_0603_HandSoldering,
C60,330u,Capacitors_Tantalum_SMD:TantalC_SizeD_EIA-7343_HandSoldering,
C65,4.7u,Capacitors_SMD:C_0805_HandSoldering,
C69,4.7u,Capacitors_SMD:C_0805_HandSoldering,
C73,4.7u,Capacitors_SMD:C_0805_HandSoldering,
C76,4.7u,Capacitors_SMD:C_0805_HandSoldering,
C79,4.7u,Capacitors_SMD:C_0805_HandSoldering,
C82,4.7u,Capacitors_SMD:C_0805_HandSoldering,
C84,470n,Capacitors_SMD:C_0603_HandSoldering,
C85,470n,Capacitors_SMD:C_0603_HandSoldering,
C87,470n,Capacitors_SMD:C_0603_HandSoldering,
C89,470n,Capacitors_SMD:C_0603_HandSoldering,
C91,470n,Capacitors_SMD:C_0603_HandSoldering,
C93,470n,Capacitors_SMD:C_0603_HandSoldering,
C95,470n,Capacitors_SMD:C_0603_HandSoldering,
C97,470n,Capacitors_SMD:C_0603_HandSoldering,
C61,100u,Capacitors_Tantalum_SMD:TantalC_SizeB_EIA-3528_HandSoldering,
C66,470n,Capacitors_SMD:C_0603_HandSoldering,
C70,470n,Capacitors_SMD:C_0603_HandSoldering,
C62,47u,Capacitors_SMD:C_1210_HandSoldering,
C67,4.7u,Capacitors_SMD:C_0805_HandSoldering,
C71,4.7u,Capacitors_SMD:C_0805_HandSoldering,
C74,470n,Capacitors_SMD:C_0603_HandSoldering,
C77,470n,Capacitors_SMD:C_0603_HandSoldering,
C80,470n,Capacitors_SMD:C_0603_HandSoldering,
C63,47u,Capacitors_SMD:C_1210_HandSoldering,
C64,47u,Capacitors_SMD:C_1210_HandSoldering,
C68,4.7u,Capacitors_SMD:C_0805_HandSoldering,
C72,4.7u,Capacitors_SMD:C_0805_HandSoldering,
C75,470n,Capacitors_SMD:C_0603_HandSoldering,
C78,470n,Capacitors_SMD:C_0603_HandSoldering,
C81,470n,Capacitors_SMD:C_0603_HandSoldering,
C83,470n,Capacitors_SMD:C_0603_HandSoldering,
C86,4.7u,Capacitors_SMD:C_0805_HandSoldering,
C88,4.7u,Capacitors_SMD:C_0805_HandSoldering,
C90,470n,Capacitors_SMD:C_0603_HandSoldering,
C92,470n,Capacitors_SMD:C_0603_HandSoldering,
C94,470n,Capacitors_SMD:C_0603_HandSoldering,
C96,470n,Capacitors_SMD:C_0603_HandSoldering,
U11,L79L12,Housings_SOT-89:SOT89-3_Housing_Handsoldering,
C107,330n,Capacitors_SMD:C_0603_HandSoldering,
C109,100n,Capacitors_SMD:C_0603_HandSoldering,
C108,10u,Capacitors_SMD:C_0805_HandSoldering,
C106,100n,Capacitors_SMD:C_0603_HandSoldering,
C111,330n,Capacitors_SMD:C_0603_HandSoldering,
C116,100n,Capacitors_SMD:C_0603_HandSoldering,
U14,L78L05,Housings_SOT-89:SOT89-3_Housing_Handsoldering,
U10,LM2937-12,pre:SOT-223,
U12,TPS54325,pre:TSSOP-14_4.4x5mm_Pitch0.65mm_exposed_pad,
C99,10u,Capacitors_SMD:C_0805_HandSoldering,
C101,100n,Capacitors_SMD:C_0603_HandSoldering,
C103,100u,Capacitors_Tantalum_SMD:TantalC_SizeB_EIA-3528_HandSoldering,
R54,6.81k,Resistors_SMD:R_0805_HandSoldering,,1%
R55,22.1k,Resistors_SMD:R_0805_HandSoldering,,1%
C105,3.3n,Capacitors_SMD:C_0603_HandSoldering,
C110,1u,Capacitors_SMD:C_0805_HandSoldering,
R56,100k,Resistors_SMD:R_0805_HandSoldering,
C114,100n,Capacitors_SMD:C_0603_HandSoldering,
L5,1.5u,pre:SPM3015,,Ip>3.5A, Irms>3.1A
C120,22u,Capacitors_SMD:C_0805_HandSoldering,
C121,22u,Capacitors_SMD:C_0805_HandSoldering,
U13,TPS54294,Housings_SSOP:TSSOP-16-1EP_4.4x5mm_Pitch0.65mm,
C113,10u,Capacitors_SMD:C_0805_HandSoldering,
C115,10u,Capacitors_SMD:C_0805_HandSoldering,
C117,100n,Capacitors_SMD:C_0603_HandSoldering,
C118,100n,Capacitors_SMD:C_0603_HandSoldering,
L4,1.5u,pre:SPM3015,,Ip>2.8A, Irms>2.1A
C104,100n,Capacitors_SMD:C_0603_HandSoldering,
C102,22u,Capacitors_SMD:C_0805_HandSoldering,
C100,22u,Capacitors_SMD:C_0805_HandSoldering,
R52,30.1k,Resistors_SMD:R_0805_HandSoldering,,1%
R53,22.1k,Resistors_SMD:R_0805_HandSoldering,,1%
C98,22p,Capacitors_SMD:C_0603_HandSoldering,
C112,1u,Capacitors_SMD:C_0805_HandSoldering,
R57,100k,Resistors_SMD:R_0805_HandSoldering,
L6,2.2u,pre:SPM3015,,Ip>2.9A, Irms>2.1A
C119,100n,Capacitors_SMD:C_0603_HandSoldering,
C122,22u,Capacitors_SMD:C_0805_HandSoldering,
C123,22u,Capacitors_SMD:C_0805_HandSoldering,
R58,73.2k,Resistors_SMD:R_0805_HandSoldering,,1%
R59,22.1k,Resistors_SMD:R_0805_HandSoldering,,1%
C124,22p,Capacitors_SMD:C_0603_HandSoldering,
P13,PwGnd,pa:Terminal_Block_3_5mm,,+15VGnd-15V
L3,FERRITE_BEAD,Resistors_SMD:R_0805_HandSoldering,
C153,10u,Capacitors_SMD:C_0805_HandSoldering,
C152,10u,Capacitors_SMD:C_0805_HandSoldering,
U19,cs5361,Housings_SSOP:TSSOP-24_4.4x7.8mm_Pitch0.65mm,
C143,1u,Capacitors_SMD:C_0805_HandSoldering,
C144,10n,Capacitors_SMD:C_0603_HandSoldering,
C151,10n,Capacitors_SMD:C_0603_HandSoldering,
C141,1u,Capacitors_SMD:C_0805_HandSoldering,
C142,10n,Capacitors_SMD:C_0603_HandSoldering,
C146,47u,Capacitors_SMD:C_1210_HandSoldering,
C149,10n,Capacitors_SMD:C_0603_HandSoldering,
C147,1u,Capacitors_SMD:C_0805_HandSoldering,
C150,10n,Capacitors_SMD:C_0603_HandSoldering,
C148,1u,Capacitors_SMD:C_0805_HandSoldering,
C145,10n,Capacitors_SMD:C_0603_HandSoldering,
R79,10k,Resistors_SMD:R_0805_HandSoldering,
R78,47k,Resistors_SMD:R_0805_HandSoldering,
U15,LM4562,SMD_Packages:SOIC-8-W,
R64,100k,Resistors_SMD:R_0805_HandSoldering,
C129,1u,Capacitors_SMD:C_0805_HandSoldering,
R70,634,Resistors_SMD:R_0805_HandSoldering,
C131,470p,Capacitors_SMD:C_0603_HandSoldering,,NP0
R74,91,Resistors_SMD:R_0805_HandSoldering,
R75,91,Resistors_SMD:R_0805_HandSoldering,
C133,470p,Capacitors_SMD:C_0603_HandSoldering,,NP0
R71,634,Resistors_SMD:R_0805_HandSoldering,
C135,2.7n,Capacitors_SMD:C_0603_HandSoldering,,NP0
P14,RIN,pa:Terminal_Block_2_2.5mm,
C137,100n,Capacitors_SMD:C_0603_HandSoldering,
C138,100n,Capacitors_SMD:C_0603_HandSoldering,
C139,100n,Capacitors_SMD:C_0603_HandSoldering,
C140,100n,Capacitors_SMD:C_0603_HandSoldering,
R66,100k,Resistors_SMD:R_0805_HandSoldering,
R68,634,Resistors_SMD:R_0805_HandSoldering,
R60,3.3k,Resistors_SMD:R_0805_HandSoldering,
R61,3.3k,Resistors_SMD:R_0805_HandSoldering,
C125,10n,Capacitors_SMD:C_0603_HandSoldering,
C127,100u,Capacitors_Tantalum_SMD:TantalC_SizeB_EIA-3528_HandSoldering,
U16,LM4562,SMD_Packages:SOIC-8-W,
R65,100k,Resistors_SMD:R_0805_HandSoldering,
C130,1u,Capacitors_SMD:C_0805_HandSoldering,
R72,634,Resistors_SMD:R_0805_HandSoldering,
C132,470p,Capacitors_SMD:C_0603_HandSoldering,,NP0
R76,91,Resistors_SMD:R_0805_HandSoldering,
R77,91,Resistors_SMD:R_0805_HandSoldering,
C134,470p,Capacitors_SMD:C_0603_HandSoldering,,NP0
R73,634,Resistors_SMD:R_0805_HandSoldering,
C136,2.7n,Capacitors_SMD:C_0603_HandSoldering,,NP0
P15,LIN,pa:Terminal_Block_2_2.5mm,
R67,100k,Resistors_SMD:R_0805_HandSoldering,
R69,634,Resistors_SMD:R_0805_HandSoldering,
R62,3.3k,Resistors_SMD:R_0805_HandSoldering,
R63,3.3k,Resistors_SMD:R_0805_HandSoldering,
C126,10n,Capacitors_SMD:C_0603_HandSoldering,
C128,100u,Capacitors_Tantalum_SMD:TantalC_SizeB_EIA-3528_HandSoldering,
U18,SD103ASDM,pre:SOT-26-6,
U17,SD103ASDM,pre:SOT-26-6,
